,,,,,,,Daily Price Arrival Report-07-11-2025 to 07-02-2026 for Uttar Pradesh,,,,,,
State,District,Market,Commodity Group,Commodity,Variety,Grade,Min Price,Max Price,Modal Price,Price Unit,Arrival Quantity,Arrival Unit,Arrival Date
Uttar Pradesh,Agra,Fatehabad APMC,Vegetables,Potato,Potato,Local,500.00,800.00,700.00,Rs./Quintal,36.50,Metric Tonnes,31-12-2025
Uttar Pradesh,Agra,Fatehabad APMC,Vegetables,Potato,Potato,Local,500.00,800.00,700.00,Rs./Quintal,65.40,Metric Tonnes,30-12-2025
Uttar Pradesh,Agra,Fatehabad APMC,Vegetables,Potato,Potato,Local,500.00,800.00,700.00,Rs./Quintal,12.00,Metric Tonnes,27-01-2026
Uttar Pradesh,Agra,Fatehabad APMC,Vegetables,Potato,Potato,Medium,600.00,900.00,800.00,Rs./Quintal,98.70,Metric Tonnes,26-12-2025
Uttar Pradesh,Agra,Fatehabad APMC,Vegetables,Potato,Potato,Medium,700.00,900.00,900.00,Rs./Quintal,65.90,Metric Tonnes,25-12-2025
Uttar Pradesh,Agra,Fatehabad APMC,Vegetables,Potato,Other,Local,500.00,800.00,700.00,Rs./Quintal,24.10,Metric Tonnes,24-01-2026
Uttar Pradesh,Agra,Fatehabad APMC,Vegetables,Potato,Potato,Medium,600.00,"1,000.00",800.00,Rs./Quintal,112.00,Metric Tonnes,22-12-2025
Uttar Pradesh,Agra,Fatehabad APMC,Vegetables,Potato,Potato,Local,500.00,800.00,700.00,Rs./Quintal,22.10,Metric Tonnes,22-01-2026
Uttar Pradesh,Agra,Fatehabad APMC,Vegetables,Potato,Potato,Medium,600.00,900.00,800.00,Rs./Quintal,78.10,Metric Tonnes,21-12-2025
Uttar Pradesh,Agra,Fatehabad APMC,Vegetables,Potato,Potato,Local,500.00,800.00,700.00,Rs./Quintal,21.40,Metric Tonnes,20-01-2026
